baseClass,equivalentClass
DOID:0050764,OMIM:300261
DOID:1386,OMIM:200100
DOID:13223,OMIM:150699
DOID:4257,OMIM:114000
DOID:980,OMIM:215500
DOID:0050472,OMIM:158000
DOID:12387,OMIM:304800
DOID:13401,OMIM:607140
DOID:5325,OMIM:268300
DOID:635,OMIM:609423
DOID:9280,OMIM:237300
DOID:0050600,OMIM:600501
DOID:5374,OMIM:132600
DOID:0080028,OMIM:184250
DOID:3762,OMIM:220110
DOID:0050474,OMIM:256500
DOID:699,OMIM:251900
DOID:0050880,OMIM:610443
DOID:0060067,OMIM:557000
DOID:2739,OMIM:143500
DOID:8757,OMIM:137280
DOID:678,OMIM:601104
DOID:0060207,OMIM:614373
DOID:9074,OMIM:152700
DOID:8534,OMIM:109350
DOID:9248,OMIM:146510
DOID:8446,OMIM:147710
DOID:2538,OMIM:245570
DOID:5684,OMIM:271510
DOID:14773,OMIM:250250
DOID:2951,OMIM:158280
DOID:14179,OMIM:300755
DOID:12800,OMIM:253200
DOID:1702,OMIM:146700
DOID:13381,OMIM:170900
DOID:9266,OMIM:220100
DOID:6406,OMIM:217095
DOID:0050800,OMIM:300352
DOID:8632,OMIM:148000
DOID:799,OMIM:192200
DOID:0050654,OMIM:218600
DOID:0050742,OMIM:188890
DOID:11870,OMIM:172700
DOID:0060065,OMIM:205950
DOID:0050536,OMIM:269000
DOID:1700,OMIM:308100
DOID:2960,OMIM:601675
DOID:0050741,OMIM:103780
DOID:4400,OMIM:125600
DOID:0050831,OMIM:604218
DOID:718,OMIM:205700
DOID:8970,OMIM:260470
DOID:0050636,OMIM:105200
DOID:2339,OMIM:123500
DOID:7765,OMIM:300216
DOID:9270,OMIM:203500
DOID:9268,OMIM:605899
DOID:0050727,OMIM:276710
DOID:1388,OMIM:205400
DOID:0060205,OMIM:613954
DOID:0050602,OMIM:231550
DOID:0050645,OMIM:208050
DOID:585,OMIM:167030
DOID:3070,OMIM:137800
DOID:14501,OMIM:270200
DOID:9821,OMIM:303100
DOID:14683,OMIM:155050
DOID:0050902,OMIM:155255
DOID:14789,OMIM:183900
DOID:5812,OMIM:209920
DOID:7148,OMIM:180300
DOID:0050689,OMIM:610713
DOID:1949,OMIM:600803
DOID:0050681,OMIM:301900
DOID:0050885,OMIM:614732
DOID:0050879,OMIM:300623
DOID:0060208,OMIM:614696
DOID:2893,OMIM:603956
DOID:1064,OMIM:219800
DOID:11975,OMIM:120430
DOID:11198,OMIM:188400
DOID:12376,OMIM:253400
DOID:13357,OMIM:168900
DOID:9352,OMIM:125853
DOID:0050549,OMIM:263530
DOID:0060009,OMIM:604571
DOID:9164,OMIM:200400
DOID:5419,OMIM:181500
DOID:4239,OMIM:606243
DOID:13809,OMIM:144250
DOID:0050430,OMIM:171400
DOID:3132,OMIM:176100
DOID:12132,OMIM:608710
DOID:12271,OMIM:106210
DOID:4022,OMIM:191650
DOID:0060195,OMIM:606640
DOID:9970,OMIM:601665
DOID:14766,OMIM:191830
DOID:12799,OMIM:309900
DOID:0050659,OMIM:607483
DOID:14720,OMIM:130000
DOID:12603,OMIM:308960
DOID:3981,OMIM:234200
DOID:0050715,OMIM:277400
DOID:2394,OMIM:167000
DOID:0050450,OMIM:263800
DOID:0060064,OMIM:310310
DOID:3911,OMIM:176670
DOID:0050679,OMIM:303700
DOID:3310,OMIM:603165
DOID:0060197,OMIM:602099
DOID:3652,OMIM:256000
DOID:0050605,OMIM:201100
DOID:11819,OMIM:191600
DOID:13375,OMIM:187360
DOID:5688,OMIM:277700
DOID:0050634,OMIM:203655
DOID:0050799,OMIM:612736
DOID:11589,OMIM:223900
DOID:12842,OMIM:139393
DOID:12449,OMIM:609135
DOID:0050791,OMIM:261550
DOID:2926,OMIM:149000
DOID:12117,OMIM:265100
DOID:0050813,OMIM:143095
DOID:0060021,OMIM:606593
DOID:2785,OMIM:220200
DOID:14743,OMIM:190350
DOID:14756,OMIM:130050
DOID:8691,OMIM:254400
DOID:2796,OMIM:263000
DOID:5485,OMIM:312820
DOID:11634,OMIM:255900
DOID:13042,OMIM:265380
DOID:11119,OMIM:137580
DOID:14768,OMIM:101400
DOID:4905,OMIM:260350
DOID:14737,OMIM:304110
DOID:1790,OMIM:156240
DOID:0050692,OMIM:601003
DOID:13137,OMIM:253300
DOID:2862,OMIM:305900
DOID:0050467,OMIM:133200
DOID:4501,OMIM:311200
DOID:3261,OMIM:147060
DOID:0050809,OMIM:601492
DOID:14725,OMIM:156580
DOID:5453,OMIM:265450
DOID:2729,OMIM:305000
DOID:905,OMIM:214100
DOID:437,OMIM:254200
DOID:2512,OMIM:109400
DOID:9253,OMIM:606764
DOID:0050711,OMIM:604290
DOID:4258,OMIM:261800
DOID:0050807,OMIM:612713
DOID:0050723,OMIM:610992
DOID:9631,OMIM:169400
DOID:9822,OMIM:613105
DOID:3651,OMIM:266150
DOID:11383,OMIM:219050
DOID:11105,OMIM:136880
DOID:2736,OMIM:102500
DOID:3369,OMIM:612219
DOID:0080056,OMIM:200610
DOID:0080053,OMIM:103580
DOID:2508,OMIM:207600
DOID:14283,OMIM:259100
DOID:9467,OMIM:161200
DOID:9827,OMIM:179300
DOID:384,OMIM:194200
DOID:0050546,OMIM:613743
DOID:701,OMIM:125420
DOID:0050429,OMIM:169600
DOID:0050769,OMIM:310465
DOID:12661,OMIM:157950
DOID:0050631,OMIM:300523
DOID:3905,OMIM:612571
DOID:0050752,OMIM:608627
DOID:9849,OMIM:156000
DOID:3347,OMIM:259500
DOID:10122,OMIM:145100
DOID:0050553,OMIM:613732
DOID:1440,OMIM:109150
DOID:7400,OMIM:251260
DOID:14701,OMIM:606054
DOID:4051,OMIM:268220
DOID:0050788,OMIM:185800
DOID:13372,OMIM:613490
DOID:14681,OMIM:180860
DOID:11044,OMIM:230750
DOID:9955,OMIM:241550
DOID:6543,OMIM:604324
DOID:14755,OMIM:207900
DOID:10587,OMIM:245200
DOID:2988,OMIM:107320
DOID:5339,OMIM:162800
DOID:0050547,OMIM:155240
DOID:11661,OMIM:190900
DOID:0050663,OMIM:158810
DOID:0080054,OMIM:200600
DOID:12308,OMIM:237500
DOID:1060,OMIM:234500
DOID:856,OMIM:253260
DOID:12858,OMIM:143100
DOID:12731,OMIM:606177
DOID:0050812,OMIM:612847
DOID:0050693,OMIM:605041
DOID:743,OMIM:125635
DOID:5327,OMIM:312530
DOID:11949,OMIM:123400
DOID:0050848,OMIM:107650
DOID:4481,OMIM:607154
DOID:4843,OMIM:600139
DOID:0050664,OMIM:210370
DOID:0050858,OMIM:602535
DOID:0050676,OMIM:135150
DOID:4534,OMIM:234100
DOID:14451,OMIM:170500
DOID:8864,OMIM:151380
DOID:0060210,OMIM:615515
DOID:6678,OMIM:189500
DOID:8567,OMIM:236000
DOID:0060174,OMIM:613163
DOID:988,OMIM:157700
DOID:12960,OMIM:101200
DOID:2154,OMIM:194070
DOID:2935,OMIM:214500
DOID:0080050,OMIM:602875
DOID:4297,OMIM:106700
DOID:9255,OMIM:600274
DOID:9432,OMIM:233100
DOID:2569,OMIM:126700
DOID:13096,OMIM:182410
DOID:0050438,OMIM:136680
DOID:0080047,OMIM:177170
DOID:3343,OMIM:252650
DOID:6498,OMIM:182000
DOID:11054,OMIM:109800
DOID:0050473,OMIM:203800
DOID:12961,OMIM:173800
DOID:452,OMIM:181030
DOID:0050789,OMIM:186570
DOID:4998,OMIM:150230
DOID:0050775,OMIM:269250
DOID:0050757,OMIM:304700
DOID:14695,OMIM:230200
DOID:10016,OMIM:162300
DOID:0050797,OMIM:264470
DOID:11836,OMIM:119800
DOID:3613,OMIM:271900
DOID:3748,OMIM:133239
DOID:1392,OMIM:177800
DOID:11156,OMIM:206600
DOID:0050680,OMIM:112310
DOID:9808,OMIM:233450
DOID:10604,OMIM:223100
DOID:0060199,OMIM:608031
DOID:84,OMIM:165800
DOID:11164,OMIM:217500
DOID:0050712,OMIM:612718
DOID:14780,OMIM:148050
DOID:0050630,OMIM:300600
DOID:0060013,OMIM:300400
DOID:14687,OMIM:222600
DOID:8461,OMIM:304050
DOID:12306,OMIM:193200
DOID:4249,OMIM:137440
DOID:9249,OMIM:269860
DOID:0060218,OMIM:181750
DOID:11723,OMIM:310200
DOID:0050734,OMIM:261000
DOID:13777,OMIM:226400
DOID:9007,OMIM:272120
DOID:4465,OMIM:605074
DOID:6496,OMIM:612237
DOID:0050682,OMIM:601536
DOID:0050887,OMIM:107480
DOID:5810,OMIM:102700
DOID:14500,OMIM:230000
DOID:3948,OMIM:202300
DOID:0060212,OMIM:606070
DOID:9521,OMIM:262500
DOID:9246,OMIM:605714
DOID:0050578,OMIM:613587
DOID:321,OMIM:159580
DOID:11612,OMIM:184700
DOID:2734,OMIM:124200
DOID:3764,OMIM:194080
DOID:5362,OMIM:229045
DOID:1171,OMIM:144650
DOID:12716,OMIM:267450
DOID:560,OMIM:154600
DOID:14080,OMIM:103900
DOID:14499,OMIM:301500
DOID:6652,OMIM:106400
DOID:3301,OMIM:424500
DOID:11599,OMIM:144100
DOID:4997,OMIM:131300
DOID:13241,OMIM:109650
DOID:0050740,OMIM:600096
DOID:0050818,OMIM:275350
DOID:13724,OMIM:240400
DOID:3803,OMIM:218800
DOID:5409,OMIM:182280
DOID:1572,OMIM:236690
DOID:9281,OMIM:261600
DOID:2235,OMIM:613679
DOID:9487,OMIM:155140
DOID:0050641,OMIM:268150
DOID:0050529,OMIM:271150
DOID:2129,OMIM:609322
DOID:0050458,OMIM:607785
DOID:12803,OMIM:253220
DOID:0050436,OMIM:253250
DOID:0050477,OMIM:177200
DOID:0050787,OMIM:174900
DOID:14116,OMIM:151800
DOID:1757,OMIM:141300
DOID:13641,OMIM:177650
DOID:0050683,OMIM:607475
DOID:0050771,OMIM:171300
DOID:5425,OMIM:608115
DOID:9538,OMIM:254500
DOID:12714,OMIM:225500
DOID:9269,OMIM:248600
DOID:12580,OMIM:123450
DOID:0050433,OMIM:600072
DOID:1838,OMIM:309400
DOID:8538,OMIM:267730
DOID:0060020,OMIM:267500
DOID:2717,OMIM:210900
DOID:684,OMIM:114550
DOID:0050796,OMIM:200450
DOID:1172,OMIM:144600
DOID:0050729,OMIM:275630
DOID:9278,OMIM:207800
DOID:2012,OMIM:242700
DOID:9271,OMIM:311250
DOID:14670,OMIM:239800
DOID:2986,OMIM:161950
DOID:2871,OMIM:608089
DOID:4586,OMIM:607174
DOID:2775,OMIM:102660
DOID:13501,OMIM:157900
DOID:4423,OMIM:269600
DOID:14753,OMIM:243500
DOID:2231,OMIM:234000
DOID:0050469,OMIM:218040
DOID:4253,OMIM:155950
DOID:14761,OMIM:175700
DOID:13832,OMIM:607411
DOID:2987,OMIM:249100
DOID:2236,OMIM:202400
DOID:0050419,OMIM:610984
DOID:10017,OMIM:131100
DOID:0050814,OMIM:605282
DOID:8616,OMIM:171000
DOID:2120,OMIM:305600
DOID:10611,OMIM:226300
DOID:12559,OMIM:259750
DOID:0050643,OMIM:206800
DOID:12259,OMIM:306900
DOID:2626,OMIM:260500
DOID:0050691,OMIM:113620
DOID:5813,OMIM:613179
DOID:0060221,OMIM:614569
DOID:859,OMIM:253270
DOID:0050649,OMIM:209300
DOID:11211,OMIM:231300
DOID:0050461,OMIM:208400
DOID:0060209,OMIM:614808
DOID:1761,OMIM:155900
DOID:769,OMIM:256700
DOID:4752,OMIM:146500
DOID:3315,OMIM:151900
DOID:1415,OMIM:258870
DOID:0060211,OMIM:615426
DOID:8158,OMIM:609536
DOID:0050768,OMIM:604273
DOID:8924,OMIM:188030
DOID:3633,OMIM:248510
DOID:14221,OMIM:605552
DOID:0050647,OMIM:301835
DOID:9261,OMIM:161550
DOID:674,OMIM:119540
DOID:0050452,OMIM:610377
DOID:14764,OMIM:150250
DOID:1811,OMIM:604335
DOID:0050574,OMIM:236792
DOID:6691,OMIM:214900
DOID:0050640,OMIM:607095
DOID:0060206,OMIM:300857
DOID:2216,OMIM:227400
DOID:0050441,OMIM:272200
DOID:10992,OMIM:606752
DOID:14796,OMIM:223370
DOID:0050726,OMIM:276700
DOID:0050722,OMIM:601815
DOID:14731,OMIM:277590
DOID:0050579,OMIM:613507
DOID:7004,OMIM:219090
DOID:1932,OMIM:105830
DOID:0050465,OMIM:158320
DOID:0050597,OMIM:181460
DOID:3827,OMIM:610187
DOID:310,OMIM:545000
DOID:2229,OMIM:612416
DOID:2861,OMIM:613470
DOID:0050725,OMIM:276600
DOID:13300,OMIM:181440
DOID:13366,OMIM:184850
DOID:0050604,OMIM:607778
DOID:0050528,OMIM:234050
DOID:0080055,OMIM:600972
DOID:3962,OMIM:188470
DOID:3529,OMIM:117000
DOID:0050770,OMIM:174050
DOID:2738,OMIM:264800
DOID:0050835,OMIM:128100
DOID:633,OMIM:160750
DOID:0050877,OMIM:260370
DOID:4810,OMIM:213700
DOID:3535,OMIM:254800
DOID:0050468,OMIM:153300
DOID:0050717,OMIM:277380
DOID:0060063,OMIM:300751
DOID:11459,OMIM:243200
DOID:12642,OMIM:142400
DOID:12934,OMIM:530000
DOID:0050867,OMIM:311150
DOID:6245,OMIM:553000
DOID:11549,OMIM:103100
DOID:3389,OMIM:245000
DOID:0050774,OMIM:266280
DOID:1391,OMIM:245900
DOID:8161,OMIM:607464
DOID:14694,OMIM:243800
DOID:0050464,OMIM:228000
DOID:11367,OMIM:610256
DOID:1919,OMIM:300322
DOID:4183,OMIM:612463
DOID:12098,OMIM:190400
DOID:14692,OMIM:270400
DOID:3052,OMIM:124100
DOID:6682,OMIM:184200
DOID:9883,OMIM:300376
DOID:4769,OMIM:601200
DOID:2582,OMIM:614097
DOID:0050527,OMIM:145750
DOID:3263,OMIM:172800
DOID:11983,OMIM:176270
DOID:3590,OMIM:231090
DOID:0050720,OMIM:238970
DOID:0050460,OMIM:194190
DOID:2565,OMIM:217800
DOID:11727,OMIM:158900
DOID:13378,OMIM:611775
DOID:12399,OMIM:606349
DOID:14693,OMIM:129500
DOID:0050633,OMIM:300500
DOID:2752,OMIM:232300
DOID:9274,OMIM:238700
DOID:5363,OMIM:613488
DOID:1123,OMIM:106300
DOID:10383,OMIM:162100
DOID:0050437,OMIM:300257
DOID:0050470,OMIM:246200
DOID:4447,OMIM:153880
DOID:0050332,OMIM:600791
DOID:14778,OMIM:110100
DOID:2907,OMIM:164210
DOID:4971,OMIM:254450
DOID:0060179,OMIM:309500
DOID:9563,OMIM:211400
DOID:4252,OMIM:203450
DOID:0080051,OMIM:201250
DOID:5408,OMIM:602080
DOID:990,OMIM:234700
DOID:529,OMIM:606798
DOID:2224,OMIM:187950
DOID:6255,OMIM:102200
DOID:14289,OMIM:224700
DOID:12583,OMIM:192430
DOID:2748,OMIM:232400
DOID:14699,OMIM:274000
DOID:13714,OMIM:206780
DOID:6686,OMIM:100700
DOID:3204,OMIM:162091
DOID:14175,OMIM:193300
DOID:10825,OMIM:145500
DOID:3928,OMIM:103200
DOID:12217,OMIM:127750
DOID:0050656,OMIM:251290
DOID:3687,OMIM:540000
DOID:3371,OMIM:215300
DOID:14515,OMIM:194072
DOID:0050561,OMIM:606369
DOID:12918,OMIM:211480
DOID:2750,OMIM:232500
DOID:2746,OMIM:232600
DOID:3323,OMIM:268800
DOID:599,OMIM:608251
DOID:9744,OMIM:222100
DOID:5117,OMIM:166950
DOID:11782,OMIM:603047
DOID:1858,OMIM:174800
DOID:9250,OMIM:200990
DOID:14218,OMIM:274270
DOID:3852,OMIM:175200
DOID:1540,OMIM:608266
DOID:0050331,OMIM:149730
DOID:2219,OMIM:273800
DOID:0080052,OMIM:200700
DOID:758,OMIM:270100
DOID:12894,OMIM:270150
DOID:14705,OMIM:101600
DOID:0050834,OMIM:214800
DOID:0050677,OMIM:262000
DOID:11721,OMIM:232800
DOID:0050658,OMIM:149200
DOID:11719,OMIM:164300
DOID:5394,OMIM:600634
DOID:0060060,OMIM:605027
DOID:0050882,OMIM:600224
DOID:11353,OMIM:109820
DOID:0050552,OMIM:190351
DOID:9273,OMIM:215700
DOID:1442,OMIM:203700
DOID:0080026,OMIM:215150
DOID:0050559,OMIM:253800
DOID:0050724,OMIM:614023
DOID:11722,OMIM:160900
DOID:0050678,OMIM:186580
DOID:0050638,OMIM:105210
DOID:5520,OMIM:275355
DOID:0050657,OMIM:153480
DOID:705,OMIM:535000
DOID:4624,OMIM:166000
DOID:3649,OMIM:312170
DOID:11342,OMIM:107800
DOID:9212,OMIM:173200
DOID:13374,OMIM:135100
DOID:0050637,OMIM:105120
DOID:3210,OMIM:312080
DOID:14261,OMIM:300624
DOID:13269,OMIM:121300
DOID:0050556,OMIM:271245
DOID:5572,OMIM:130650
DOID:0050601,OMIM:103285
DOID:3534,OMIM:254780
DOID:0050587,OMIM:613229
DOID:0050603,OMIM:200500
DOID:4795,OMIM:272750
DOID:8997,OMIM:263300
DOID:2732,OMIM:268400
DOID:10915,OMIM:277730
DOID:12134,OMIM:134500
DOID:1595,OMIM:608516
DOID:0050833,OMIM:258900
DOID:14250,OMIM:190685
DOID:12169,OMIM:115430
DOID:3890,OMIM:176000
DOID:12704,OMIM:208900
DOID:3969,OMIM:188550
DOID:5204,OMIM:229700
DOID:4480,OMIM:100800
DOID:0050463,OMIM:114290
DOID:0050684,OMIM:211180
DOID:0050675,OMIM:612292
DOID:1930,OMIM:245800
DOID:3302,OMIM:215400
DOID:1070,OMIM:137760
DOID:1935,OMIM:209900
DOID:11996,OMIM:187400
DOID:10923,OMIM:603903
DOID:14118,OMIM:238600
DOID:14365,OMIM:212140
DOID:14323,OMIM:154700
DOID:11042,OMIM:134750
DOID:0050790,OMIM:228900
DOID:2106,OMIM:160800
DOID:0050655,OMIM:241850
DOID:9574,OMIM:608911
DOID:1056,OMIM:309000
DOID:6713,OMIM:601367
DOID:13166,OMIM:103920
DOID:0050883,OMIM:614559
DOID:10300,OMIM:179600
DOID:11329,OMIM:103400
DOID:0050125,OMIM:614371
DOID:288,OMIM:600458
DOID:14498,OMIM:247100
DOID:11202,OMIM:600166
DOID:14671,OMIM:243150
DOID:1856,OMIM:118400
DOID:0050387,OMIM:144700
DOID:14415,OMIM:150600
DOID:0050660,OMIM:123790
DOID:11252,OMIM:206200
DOID:11476,OMIM:166710
DOID:0050606,OMIM:101900
DOID:0050476,OMIM:302060
DOID:0060066,OMIM:206000
DOID:13271,OMIM:263700
DOID:893,OMIM:277900
DOID:0060161,OMIM:313200
DOID:3320,OMIM:272800
DOID:13482,OMIM:176920
DOID:0050156,OMIM:178500
DOID:0060162,OMIM:125370
DOID:4674,OMIM:300068
DOID:2156,OMIM:603737
DOID:0050662,OMIM:611809
DOID:8552,OMIM:608232
DOID:4603,OMIM:113800
DOID:14762,OMIM:186400
DOID:0050716,OMIM:277410
DOID:14227,OMIM:415000
DOID:0050530,OMIM:253550
DOID:14723,OMIM:203750
DOID:12707,OMIM:213400
DOID:4346,OMIM:176200
DOID:14757,OMIM:130020
DOID:6457,OMIM:158350
DOID:3783,OMIM:303600
DOID:0050759,OMIM:602668
DOID:3413,OMIM:248500
DOID:0050694,OMIM:211530
DOID:0080021,OMIM:156500
DOID:0050554,OMIM:301310
DOID:8584,OMIM:113970
DOID:6419,OMIM:187500
DOID:1837,OMIM:612227
DOID:12305,OMIM:308300
DOID:0050792,OMIM:600195
DOID:1699,OMIM:242100
DOID:0080030,OMIM:602111
DOID:0050802,OMIM:615349
DOID:1485,OMIM:219700
DOID:0050558,OMIM:254090
DOID:1925,OMIM:135900
DOID:2452,OMIM:188050
